file,cost,domain,heuristic,llm,maxNodes,maxPlanLength,nodesExpanded,nodesVisited,plan,planFound,promptVersion,search,useCache,utility
2026-03-04_03-42-06-465.json,plan-length,space_three,rp,llama-8b,5000,5,16,8,"[""begin_erupt(Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""walk(Lizard, Cave, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.3,best-first,True,3
2026-03-04_03-42-13-463.json,plan-length,space_two,rp,llama-8b,5000,5,11,5,"[""begin_erupt(Surface)"", ""erupt(Surface)"", ""walk(Lizard, Cave, Surface)""]",True,v1.3,best-first,True,2
2026-03-04_03-42-15-539.json,plan-length,space_three,rp,chatgpt-5-mini,5000,5,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.3,best-first,True,3
2026-03-04_03-42-31-712.json,plan-length,hospital_any,rp,llama-8b,5000,6,33,5,"[""admit(Hathaway, Jones, PatientRoomA)"", ""walk(Young, Admissions, PatientRoomA)"", ""walk(Jones, Admissions, PatientRoomA)"", ""treat(Hathaway, Jones, TreatmentA, PatientRoomA)""]",True,v1.3,best-first,True,1
2026-03-04_03-43-30-421.json,plan-length,space_two,rp,chatgpt-5-mini,5000,5,6,3,"[""walk(Lizard, Cave, Surface)"", ""teleport_from_ship(Zoe, Ship, Surface)"", ""make_peace(Zoe, Lizard, Surface)""]",True,v1.3,best-first,True,2
2026-03-04_03-45-57-853.json,plan-length,hospital_any,rp,chatgpt-5-mini,5000,6,18,5,"[""walk(Jones, Admissions, PatientRoomA)"", ""admit(Hathaway, Jones, PatientRoomA)"", ""assess(Hathaway, Jones, SymptomA, PatientRoomA)"", ""treat(Hathaway, Jones, TreatmentA, PatientRoomA)""]",True,v1.3,best-first,True,1
2026-03-04_03-53-45-611.json,plan-length,basketball_any,rp,chatgpt-5-mini,5000,5,92,29,"[""travel(Bob, HomeB, Downtown)"", ""travel(Alice, Downtown, BasketballCourt)"", ""travel(Bob, Downtown, BasketballCourt)"", ""play_basketball(Bob, Alice, BasketballCourt)""]",True,v1.3,best-first,True,1
2026-03-04_03-55-36-503.json,plan-length,treasure,rp,chatgpt-5-mini,5000,6,10,6,,False,v1.3,best-first,True,1
2026-03-04_03-57-33-954.json,plan-length,jailbreak_lose,rp,chatgpt-5-mini,5000,6,49,20,"[""recreation(Bully, Gym)"", ""go(Roy, Hall)"", ""vent(Roy, Gym)"", ""steal(Ernest, Cigarettes, Cells)"", ""kill(Bully, Roy, Gym)""]",True,v1.3,best-first,True,1
2026-03-04_04-07-11-979.json,plan-length,jailbreak_lose,rp,llama-8b,5000,6,3676,940,,False,v1.3,best-first,True,1
2026-03-04_04-07-15-271.json,plan-length,treasure,rp,llama-8b,5000,6,6,4,,False,v1.3,best-first,True,1
2026-03-04_04-11-54-222.json,plan-length,fantasy_two,rp,chatgpt-5-mini,5000,7,99,31,"[""travel(Talia, Village, Cave)"", ""travel(Vince, Village, Cave)"", ""get_hungry(Gargax)"", ""eat(Gargax, Vince, Cave)"", ""pickup(Talia, Treasure, Cave)"", ""take(Talia, Money, Vince, Cave)""]",True,v1.3,best-first,True,2
2026-03-04_04-13-36-618.json,plan-length,gramma_any,rp,chatgpt-5-mini,5000,5,214,70,"[""walk(Tom, Cottage, Crossroads)"", ""report(Merchant, Camp, Market)"", ""walk(Bandit, Camp, Crossroads)"", ""rob(Bandit, TomCoin, Tom, Crossroads)"", ""attack(Bandit, Tom, Crossroads)""]",True,v1.3,best-first,True,1
2026-03-04_04-35-57-099.json,plan-length,fantasy_two,rp,llama-8b,5000,7,3862,928,"[""travel(Talia, Village, Cave)"", ""get_hungry(Gargax)"", ""pickup(Talia, Treasure, Cave)"", ""travel(Rory, Village, Cave)"", ""propose(Talia, Rory, Cave)"", ""accept(Rory, Talia, Cave)"", ""marry(Talia, Rory, Cave)""]",True,v1.3,best-first,True,2
2026-03-04_04-36-03-472.json,plan-length,gramma_win,rp,llama-8b,5000,7,10,3,"[""walk(Merchant, Market, Crossroads)"", ""walk(Merchant, Crossroads, Cottage)"", ""buy(Tom, Medicine, TomCoin, Cottage)""]",True,v1.3,best-first,True,2
2026-03-04_04-36-16-662.json,plan-length,lovers,rp,llama-8b,5000,7,31,6,"[""move(C1, R11, R12)"", ""move(C3, R22, R12)"", ""give(C3, I1, C1, R12)"", ""give(C2, I3, C3, R12)""]",True,v1.3,best-first,True,1
2026-03-04_04-37-01-585.json,plan-length,space_four,rp,llama-8b,5000,7,70,32,"[""teleport_from_ship(Zoe, Ship, Surface)"", ""walk(Lizard, Cave, Surface)"", ""make_peace(Zoe, Lizard, Surface)"", ""begin_erupt(Surface)"", ""teleport_to_ship(Zoe, Surface, Ship)"", ""erupt(Surface)""]",True,v1.3,best-first,True,4
2026-03-04_04-37-06-299.json,plan-length,gramma_win,rp,chatgpt-5-mini,5000,7,238,75,"[""walk(Tom, Cottage, Crossroads)"", ""walk(Tom, Crossroads, Market)"", ""buy(Tom, Medicine, TomCoin, Market)"", ""walk(Tom, Market, Crossroads)"", ""walk(Tom, Crossroads, Cottage)""]",True,v1.3,best-first,True,2
2026-03-04_04-37-21-115.json,plan-length,deerhunter_any,rp,llama-8b,5000,8,33,11,"[""pickup(Bubba, Rifle, House)"", ""pickup(Bubba, Ammo, House)"", ""load(Bubba, Rifle, Ammo)"", ""decide_to_get_money(Bubba)"", ""go(Bubba, House, Bank)"", ""steal(Bubba, Clerk, Rifle, Bank)""]",True,v1.3,best-first,True,1
2026-03-04_04-41-53-307.json,plan-length,deerhunter_any,rp,chatgpt-5-mini,5000,8,12,12,,False,v1.3,best-first,True,1
2026-03-04_04-44-09-193.json,plan-length,space_four,rp,chatgpt-5-mini,5000,7,129,71,,False,v1.3,best-first,True,4
2026-03-04_04-53-05-044.json,plan-length,lovers,rp,chatgpt-5-mini,5000,7,147,49,"[""move(C2, R12, R22)"", ""trade(C2, I3, C3, I1, R22)"", ""move(C2, R22, R21)"", ""move(C2, R21, R11)"", ""give(C2, I1, C1, R11)""]",True,v1.3,best-first,True,1
2026-03-04_05-05-04-502.json,plan-length,aladdin_any,rp,chatgpt-5-mini,5000,9,61,14,"[""summon(Dragon, Genie, Lamp, Mountain)"", ""travel(Jafar, Castle, Mountain)"", ""travel(Dragon, Mountain, Castle)"", ""slay(Jafar, Genie, Mountain)""]",True,v1.3,best-first,True,1
2026-03-04_05-44-18-099.json,plan-length,space_all,rp,chatgpt-5-mini,5000,8,221,135,,False,v1.3,best-first,True,5
2026-03-04_06-45-07-953.json,plan-length,jailbreak_escape,rp,llama-8b,5000,8,19630,5000,,False,v1.3,best-first,True,3
2026-03-04_06-45-10-145.json,plan-length,jailbreak_escape,rp,chatgpt-5-mini,5000,8,374,179,"[""chores(Ernest, Laundry)"", ""recreation(Bully, Gym)"", ""steal(Roy, Cigarettes, Cells)"", ""steal(Ernest, Clothes, Laundry)"", ""go(Ernest, Hall)"", ""disguise(Ernest, Clothes, Hall)"", ""vent(Ernest, Highway)"", ""escape(Ernest, Highway)""]",True,v1.3,best-first,True,3
2026-03-04_06-45-52-934.json,plan-length,space_all,rp,llama-8b,5000,8,70,32,"[""teleport_from_ship(Zoe, Ship, Surface)"", ""walk(Lizard, Cave, Surface)"", ""make_peace(Zoe, Lizard, Surface)"", ""begin_erupt(Surface)"", ""teleport_to_ship(Zoe, Surface, Ship)"", ""erupt(Surface)""]",True,v1.3,best-first,True,5
2026-03-04_06-46-16-315.json,plan-length,aladdin_any,rp,llama-8b,5000,9,47,2,"[""summon(Dragon, Genie, Lamp, Mountain)"", ""slay(Dragon, Genie, Mountain)""]",True,v1.3,best-first,True,1
2026-03-04_06-49-59-090.json,plan-length,raiders,rp,chatgpt-5-mini,5000,9,25,11,"[""travel(Jones, USA, Tanis)"", ""dig(Jones, Ark, Tanis)"", ""take(Nazis, Ark, Jones, Tanis)"", ""open(Nazis, Ark, Tanis)"", ""travel(USArmy, USA, Tanis)"", ""take(USArmy, Ark, Nazis, Tanis)""]",True,v1.3,best-first,True,1
2026-03-04_06-49-59-996.json,plan-length,secretagent,rp,chatgpt-5-mini,5000,10,17,17,,False,v1.3,best-first,True,1
2026-03-04_06-50-14-561.json,plan-length,western,rp,chatgpt-5-mini,5000,10,1,1,,False,v1.3,best-first,True,1
2026-03-04_07-46-33-918.json,plan-length,basketball_both,rp,llama-8b,5000,9,10678,2156,"[""travel(Charlie, Downtown, BasketballCourt)"", ""find_clues(Sherlock, Theft, Basketball, Downtown)"", ""find_clues(Sherlock, Theft, Basketball, Downtown)"", ""travel(Bob, HomeB, BasketballCourt)"", ""steal(Bob, Charlie, Bat, BasketballCourt)"", ""travel(Sherlock, Downtown, BasketballCourt)"", ""play_basketball(Bob, Charlie, BasketballCourt)"", ""suspect_of_crime(Sherlock, Bob, Theft, Bat, BasketballCourt)"", ""arrest(Sherlock, Bob, BasketballCourt, Theft)""]",True,v1.3,best-first,True,2
2026-03-04_09-56-57-728.json,plan-length,jailbreak_revenge,rp,llama-8b,5000,9,19980,5000,,False,v1.3,best-first,True,6
2026-03-04_09-57-07-932.json,plan-length,raiders,rp,llama-8b,5000,9,18,8,"[""dig(Nazis, Ark, Tanis)"", ""travel(Jones, USA, Tanis)"", ""open(Nazis, Ark, Tanis)"", ""travel(USArmy, USA, Tanis)"", ""take(USArmy, Ark, Nazis, Tanis)""]",True,v1.3,best-first,True,1
2026-03-04_09-58-06-889.json,plan-length,western,rp,llama-8b,5000,10,109,13,"[""snakebite(Timmy, Ranch)"", ""travel(Hank, Jailhouse)"", ""travel(Will, Jailhouse)"", ""die(Timmy, Snakebite, Ranch)"", ""tie_up(Will, Hank, Jailhouse)""]",True,v1.3,best-first,True,1
